Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
UBQLN2|29978,3282.752286,-0.217024319,0.047143082,-4.603524183,4.15E-06,1.20E-05
UBQLN1|29979,7252.732636,-0.016038586,0.046991257,-0.341309995,0.732870225,0.814442875
DONSON|29980,243.3233517,0.294908338,0.083870976,3.516214475,0.000437747,0.000940681
NRBF2|29982,688.9313381,-0.094740792,0.044496515,-2.129173307,0.033239924,0.052555955
RHOD|29984,997.0831266,0.265134718,0.107490838,2.466579682,0.013641037,0.023143183
SLC39A3|29985,1640.878687,0.513355769,0.075126315,6.833235058,8.30E-12,4.92E-11
SLC39A2|29986,199.4818946,-3.900795127,0.399133923,-9.773148565,1.47E-22,3.39E-21
SLC2A8|29988,1158.436145,-0.099080968,0.077243396,-1.282711182,0.199593281,0.265921577
OBP2B|29989,4.011624753,0.737852819,0.441994115,1.669372497,0.095043581,0.136722898
PILRB|29990,3000.46094,0.913556287,0.133111944,6.863067736,6.74E-12,4.03E-11
OBP2A|29991,1.341464014,1.948539509,0.627187023,3.106791812,0.001891295,0.003688636
PILRA|29992,143.8821519,0.451356645,0.117836801,3.830353838,0.000127959,0.000297287
PACSIN1|29993,215.7830651,0.984077211,0.13616756,7.22695779,4.94E-13,3.40E-12
BAZ2B|29994,1655.355458,-0.335093875,0.073026127,-4.588684737,4.46E-06,1.29E-05
LMCD1|29995,863.7920614,-0.459404368,0.128084927,-3.586716864,0.000334868,0.000731753
GLTSCR2|29997,24940.85196,0.276774129,0.099634842,2.777884962,0.005471399,0.009950711
GLTSCR1|29998,1000.532697,0.375751641,0.064866982,5.79264872,6.93E-09,2.89E-08
FSCN3|29999,3.147338183,-0.115036253,0.16334113,-0.70426997,0.481264664,0.573140874
TNPO2|30000,4369.800846,0.097073947,0.043311716,2.241286097,0.025007549,0.040480082
ERO1L|30001,805.3304403,-0.58279201,0.089404652,-6.518587056,7.10E-11,3.77E-10
EFEMP2|30008,1986.655766,-1.004106558,0.132430839,-7.582120363,3.40E-14,2.67E-13
TBX21|30009,24.65143213,0.324605395,0.173476185,1.871181308,0.061319955,0.092019699
NXPH1|30010,4.675626485,2.335556258,0.443802801,5.262599184,1.42E-07,4.98E-07
SH3KBP1|30011,763.2855151,-0.092804002,0.086977534,-1.066988194,0.285977167,0.364494874
TLX3|30012,0.161409551,0.636133783,1.028939656,0.61824207,0.536415782,0.628770084
SLC40A1|30061,3781.348501,-0.930275973,0.114092446,-8.153703503,3.53E-16,3.59E-15
RAX|30062,2.203939226,1.027598282,0.529895213,1.939248094,0.052471136,0.079886584
HUNK|30811,173.1416401,-1.331521423,0.174906264,-7.612771495,2.68E-14,2.13E-13
SOX8|30812,164.2029913,1.271326135,0.148185889,8.579265836,9.55E-18,1.17E-16
VSX1|30813,3.229319306,-1.7900742,0.222432873,-8.047705268,8.44E-16,8.17E-15
PLA2G2E|30814,0.011814063,0.225863434,4.689776906,0.048160806,0.961588086,0.983988191
ST6GALNAC6|30815,2666.663227,-0.298286152,0.071336774,-4.181379897,2.90E-05,7.43E-05
EMR2|30817,162.3531092,-0.631666251,0.13288502,-4.753479752,2.00E-06,6.03E-06
KCNIP3|30818,256.952078,-1.247525785,0.134782704,-9.255829932,2.13E-20,3.74E-19
KCNIP2|30819,37.4566398,0.644052158,0.137210373,4.693902819,2.68E-06,7.96E-06
KCNIP1|30820,32.00184307,-1.18004274,0.170443181,-6.923379012,4.41E-12,2.70E-11
CXXC1|30827,2396.549704,0.207338085,0.070090535,2.958146687,0.003094948,0.005852195
ZNF354C|30832,93.18735487,-0.542295252,0.162139352,-3.344624511,0.00082394,0.001696262
NT5C|30833,1037.258373,-0.084628503,0.125165684,-0.676131826,0.498956952,0.590741244
ZNRD1|30834,807.4022185,0.235697427,0.072898431,3.233230437,0.001223988,0.002456594
CD209|30835,84.23772954,-0.061405459,0.16123518,-0.380844053,0.703318969,0.786490466
DNTTIP2|30836,2484.259435,-0.172979235,0.039406928,-4.3895641,1.14E-05,3.09E-05
SOCS7|30837,139.3075172,-0.410294999,0.145254181,-2.82466912,0.004732946,0.008688848
EHD4|30844,1869.554267,-0.421002552,0.061822168,-6.809896288,9.77E-12,5.75E-11
EHD3|30845,786.2269038,-0.27749539,0.104412511,-2.657683329,0.007867978,0.013924354
EHD2|30846,3793.449596,-1.156613603,0.128957438,-8.968956123,2.99E-19,4.51E-18
CTAG2|30848,3.919489816,3.583395068,1.120428812,3.198235381,0.001382714,0.002750743
PIK3R4|30849,1931.239558,-0.063110058,0.068634879,-0.919504185,0.357831918,0.443434727
CDR2L|30850,1377.109774,0.562520174,0.101105596,5.563689818,2.64E-08,1.02E-07
TAX1BP3|30851,3525.835537,-0.685367748,0.082891369,-8.268264342,1.36E-16,1.46E-15
STOML2|30968,4079.827258,0.172158014,0.055747278,3.088186925,0.002013818,0.003909374
KLK14|43847,131.9070909,2.220492888,0.30592706,7.258242829,3.92E-13,2.73E-12
KLK12|43849,522.1941593,2.536244469,0.329124424,7.706035412,1.30E-14,1.08E-13
ZNF295|49854,1061.550723,-0.38894696,0.087051909,-4.467988871,7.90E-06,2.20E-05
SCAPER|49855,765.0632754,-0.463230593,0.069624297,-6.653289357,2.87E-11,1.59E-10
WDR8|49856,901.6113839,0.288167422,0.050239788,5.735840761,9.70E-09,3.97E-08
